Administrative region;Cultivation;Yield [tFM ha^-1], M;Yield [tFM ha^-1], SD;Yield [tFM ha^-1], Min;Yield [tFM ha^-1], Max;Distribution;Source
Swabia;Potatoes;42.45;5.16;18.57;60.91;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Quinoa;3;0.3;1.89;4.37;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Quinoa whole crop silage;17.97;1.8;9.94;25.43;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Rapeseed whole crop silage;34.98;3.47;21.18;47.39;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Rye;5.42;0.29;4.16;6.57;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Silphia;53.92;17.84;0;123.55;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Swabia;Sorghum;4.99;0.5;2.78;7.11;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Swabia;Sorghum whole crop silage;50.98;10.39;4.79;100.54;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Swabia;Soy bean;3.05;0.33;1.8;4.27;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Sugar beets;85.32;8.7;53.16;128.18;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer barley;6.12;0.48;4.01;7.95;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer mixed cereals;5.29;0.23;4.32;6.22;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer rapeseed;2.87;0.3;1.79;4.31;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer wheat;6.8;0.48;5.04;8.65;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Sunflower;2.87;0.31;1.56;3.98;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Sunflower whole crop silage;40.04;4.06;24.31;55.53;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Szarvasi;44.07;16.42;0;105.09;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Swabia;Triticale;7.04;0.58;4.78;9.23;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Winter barley;7.57;0.49;5.73;9.42;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Winter rapeseed;4.18;0.35;2.95;5.48;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Winter wheat;8.26;0.5;6.37;10.1;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Amaranth;3.5;0.35;2.2;5.1;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Amaranth whole crop silage;34.93;3.47;19.58;50.05;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Buckwheat;2.5;0.25;1.57;3.42;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Buckwheat whole crop silage;17.96;1.79;11.82;24.34;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Cereal whole crop silage;26.33;2.77;16.84;39.27;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Durum wheat;5.78;0.44;4.03;7.4;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Fava beans;3.38;0.35;2.02;4.64;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Field grass;8.83;1.39;3.19;15.07;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Flowering mixture, year 1;4.55;0.45;3;6.21;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Bavaria;Flowering mixture, year 2;5.85;0.59;3.26;8.22;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Bavaria;Fodder peas;3.28;0.35;2.07;4.77;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Legume mixture;2.5;0.25;1.58;3.4;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Legume whole crop silage;8.42;1.07;4.54;12.6;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Lupins;2.72;0.49;1.03;4.61;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Maize grain;10.1;0.95;6.48;13.67;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Maize silage;50.78;4.56;32.52;68.58;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Oats;4.98;0.42;3.35;6.49;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Pastures, mowed pastures, alpine pastures;6.41;0.61;4.04;8.6;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Permanent grassland;7.72;0.75;4.78;10.71;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Potatoes;41.21;5.26;19.1;68.43;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Quinoa;3;0.3;1.65;4.01;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Quinoa whole crop silage;18;1.81;11.22;24.32;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Rapeseed whole crop silage;34.97;3.52;18.57;48.24;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Rye;5.91;0.5;3.94;7.99;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Silphia;53.94;17.67;0;130.37;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Upper Bavaria;Sorghum;5;0.5;3.08;7.19;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Bavaria;Sorghum whole crop silage;51.02;10.54;11.05;91.58;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Bavaria;Soy bean;3.05;0.34;1.77;4.42;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Sugar beets;81.7;8.08;52.69;111.59;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Summer barley;5.9;0.44;4.18;7.51;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Summer mixed cereals;4.8;0.74;1.94;7.76;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Summer rapeseed;2.68;0.27;1.69;3.69;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Summer wheat;5.98;0.48;4.3;7.72;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Sunflower;2.89;0.25;1.87;3.9;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Sunflower whole crop silage;40.02;3.94;21.4;54.92;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Szarvasi;44.12;16.56;0;108.39;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Upper Bavaria;Triticale;6.2;0.52;4.26;8.18;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Winter barley;7.13;0.55;5.13;9.21;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Winter rapeseed;4.03;0.33;2.65;5.37;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Winter wheat;7.85;0.44;6.14;9.46;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Amaranth;3.5;0.35;2.18;4.99;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Amaranth whole crop silage;35.02;3.53;22.24;50.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Buckwheat;2.5;0.25;1.4;3.34;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Buckwheat whole crop silage;18;1.79;11.21;24.72;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Cereal whole crop silage;26.33;2.75;16.35;36.22;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Durum wheat;5.78;0.44;4.29;7.52;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Fava beans;3.42;0.33;2.12;4.82;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Field grass;7.22;1.15;2.78;11.64;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Flowering mixture, year 1;4.55;0.45;2.89;6.32;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Franconia;Flowering mixture, year 2;5.86;0.58;3.82;8.07;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Franconia;Fodder peas;3.04;0.42;1.35;4.61;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Legume mixture;2.5;0.25;1.58;3.49;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Legume whole crop silage;8.4;1.08;4.48;12.68;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Lupins;2.73;0.49;1.03;4.55;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Maize grain;8.77;1.63;2.04;14.44;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Maize silage;41.64;7.66;12.54;75.83;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Oats;4.2;0.22;3.31;5.35;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Pastures, mowed pastures, alpine pastures;6.08;1.32;1.01;11.44;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Permanent grassland;7.5;1.25;2.6;12.46;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Potatoes;30.79;9.23;0;68.3;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Quinoa;3;0.3;1.84;4.16;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Quinoa whole crop silage;18;1.8;10.59;24.79;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Rapeseed whole crop silage;34.95;3.47;21.18;53.62;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Rye;5.08;0.45;3.36;6.88;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Silphia;54.07;17.86;0;130.02;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Upper Franconia;Sorghum;5;0.5;3.18;6.8;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Franconia;Sorghum whole crop silage;51.14;10.62;6.59;89.73;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Franconia;Soy bean;3.05;0.33;1.85;4.31;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Sugar beets;71.8;13.16;24.99;117.81;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Summer barley;4.65;0.44;2.72;6.29;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Summer mixed cereals;4.5;0.23;3.63;5.37;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Summer rapeseed;2.77;0.3;1.69;4.1;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Summer wheat;5.34;0.3;4.25;6.46;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Sunflower;2.9;0.17;2.23;3.59;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Sunflower whole crop silage;39.93;4.03;21.89;56.15;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Franconia;Szarvasi;44.14;16.59;0;104.97;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Upper Franconia;Triticale;6.21;0.53;3.97;8.08;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Winter barley;6.43;0.83;3.3;9.46;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Winter rapeseed;3.72;0.37;2.33;5.24;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Franconia;Winter wheat;7.03;0.42;5.36;8.55;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Amaranth;3.5;0.35;2.17;4.8;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Amaranth whole crop silage;35.01;3.55;22.14;48.29;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Buckwheat;2.5;0.25;1.53;3.46;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Buckwheat whole crop silage;18.01;1.8;11.24;24.65;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Cereal whole crop silage;26.39;2.76;15.25;36.63;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Durum wheat;5.78;0.44;3.98;7.41;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Fava beans;2.81;0.62;0.64;5.15;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Field grass;7.14;1.1;2.65;11.66;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Flowering mixture, year 1;4.54;0.45;2.92;6.28;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Palatinate;Flowering mixture, year 2;5.86;0.58;3.57;8.14;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Palatinate;Fodder peas;3.3;0.37;1.95;4.75;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Legume mixture;2.5;0.25;1.48;3.37;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Legume whole crop silage;8.42;1.07;4.19;12.39;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Lupins;2.73;0.49;0.83;4.72;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Maize grain;9.45;1.44;3.11;14.97;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Maize silage;44.32;6.12;24.42;66.11;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Oats;4.4;0.48;2.45;6.39;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Pastures, mowed pastures, alpine pastures;5.98;0.84;3.13;9.35;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Permanent grassland;6.8;0.96;3.43;10.28;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Potatoes;38.5;5.94;16.95;61.05;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Quinoa;3;0.3;1.87;4.1;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Quinoa whole crop silage;17.95;1.78;11.6;24.82;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Rapeseed whole crop silage;35.08;3.54;22.15;47.61;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Rye;5.5;0.46;3.73;7.46;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Silphia;54.4;17.55;0;123.99;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Upper Palatinate;Sorghum;5;0.5;2.8;6.89;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Palatinate;Sorghum whole crop silage;50.94;10.6;5.34;93.9;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Palatinate;Soy bean;3.05;0.34;1.91;4.34;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Sugar beets;83.77;7.02;58.2;113.75;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Summer barley;4.99;0.54;2.94;7.16;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Summer mixed cereals;4.69;0.61;2.32;6.7;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Summer rapeseed;2.72;0.29;1.75;3.76;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Summer wheat;5.87;0.47;4.2;7.71;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Sunflower;2.77;0.16;2.13;3.37;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Sunflower whole crop silage;40.05;4.04;23.75;58.38;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Palatinate;Szarvasi;43.86;16.36;0;106.7;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Upper Palatinate;Triticale;6.2;0.54;4.22;8.41;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Winter barley;6.48;0.73;3.73;9.14;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Winter rapeseed;3.79;0.35;2.53;5.08;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Palatinate;Winter wheat;7.54;0.47;5.74;9.25;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
